;Name;Market Cap (US$ Billion);Market_Cap(Eur_Billion);Market_Cap_Euro_Billion
0; JPMorgan Chase;400.37;397.9896240585061;397.99
1; Industrial and Commercial Bank of China;295.65;293.89223056896697;293.89
2; Bank of America;279.73;278.0668819788843;278.07
3; Wells Fargo;214.34;213.06565432150308;213.07
4; China Construction Bank;207.98;206.7434673219474;206.74
5; Agricultural Bank of China;181.49;180.4109620360623;180.41
6; HSBC Holdings PLC;169.47;168.46242622872597;168.46
7; Citigroup Inc.;163.58;162.60744487221928;162.61
8; Bank of China;151.15;150.25134669541472;150.25
9; China Merchants Bank;133.37;132.57705662432988;132.58
10; Royal Bank of Canada;113.8;113.12340889142041;113.12
11; Toronto-Dominion Bank;106.61;105.97615660733155;105.98
12; HDFC Bank;105.9;105.27037786995977;105.27
13; Commonwealth Bank;99.77;99.17682341913017;99.18
14; U.S. Bancorp;84.4;83.89820483687068;83.9
15; Goldman Sachs;78.7;78.23209384670287;78.23
16; Banco Santander;75.47;75.0212976189411;75.02
17; Banco Bradesco;74.67;74.22605397119827;74.23
18; Morgan Stanley;73.93;73.49045359703614;73.49
19; Westpac;67.84;67.43666132859369;67.44
20; Mitsubishi UFJ Financial Group;66.2;65.80641185072083;65.81
21; Scotiabank;65.48;65.09069256775227;65.09
22; PNC Financial Services;63.11;62.73478326131408;62.73
23; Bank of Communications;61.85;61.48227451611909;61.48
24; BNP Paribas;59.36;59.00707866251947;59.01
25; Australia and New Zealand Banking Group;54.88;54.55371423515951;54.55
26; National Australia Bank;51.68;51.37273964418811;51.37
27; Lloyds Banking Group;51.19;50.88565290994561;50.89
28; Sumitomo Mitsui Financial Group;49.85;49.55361979997634;49.55
29; Bank of Montreal;48.12;47.833905411732424;47.83
30; UBS;45.92;45.64698538043959;45.65
31; ING Group;44.97;44.702633548744956;44.7
32; Capital One;43.22;42.96303806930747;42.96
33; The Bank of New York Mellon;42.58;42.32684315111319;42.33
34; China Minsheng Bank;39.13;38.897354920222156;38.9
35; China CITIC Bank;38.55;38.32080327560858;38.32
36; Banco Bilbao Vizcaya Argentaria;37.42;37.19752162317181;37.2
37; Mizuho Financial Group;36.95;36.73031598012289;36.73
38; Intesa Sanpaolo;36.9;36.680613252138954;36.68
39; Crédit Agricole;34.89;34.682563587185044;34.68
40; Canadian Imperial Bank of Commerce;34.87;34.66268249599147;34.66
41; Royal Bank of Scotland;33.95;33.7481523010872;33.75
42; Barclays;33.26;33.06225465490898;33.06
43; Credit Suisse;30.75;30.567177710115796;30.57
44; Nordea;29.59;29.414074420888664;29.41
45; Standard Chartered;29.37;29.195382417759383;29.2
46; KBC Bank;27.4;27.237094935192612;27.24
47; UniCredit;26.88;26.720186564159757;26.72
48; Société Générale;21.27;21.143540484363022;21.14
49; Deutsche Bank;15.77;15.67624040613093;15.68
